Ward,Road_Type,No_of_vehicles_involved,Time_Range,Month_Num,Nepali_Season,Weather_Clear,Weather_Cold,Weather_Cool,Weather_Dry,Weather_Dusty,Weather_Foggy,Weather_Frosty,Weather_Hot,Weather_Humid,Weather_Mild,Weather_Overcast,Weather_Pleasant,Weather_Rainy,Weather_Thunderstorm,Weather_Warm,Weather_Windy,Severity,Ward_Location_Risk
14,0,1,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021929824561403
15,0,1,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701
1,1,1,0,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0010964912280701
11,1,1,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701
14,0,1,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0844298245614035
18,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0197368421052631
18,1,3,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0197368421052631
13,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0734649122807017
14,0,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0010964912280701
14,0,1,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0844298245614035
17,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0164473684210526
7,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0032894736842105
4,0,2,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.006578947368421
18,0,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0197368421052631
9,0,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0032894736842105
4,0,1,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021929824561403
10,0,2,0,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701
7,1,2,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021929824561403
4,0,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0350877192982456
4,0,1,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0350877192982456
18,1,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0197368421052631
2,1,2,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0054824561403508
4,0,1,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021929824561403
