Ward,Road_Type,No_of_vehicles_involved,Time_Range,Month_Num,Nepali_Season,Weather_Clear,Weather_Cold,Weather_Cool,Weather_Dry,Weather_Dusty,Weather_Foggy,Weather_Frosty,Weather_Hot,Weather_Humid,Weather_Mild,Weather_Overcast,Weather_Pleasant,Weather_Rainy,Weather_Thunderstorm,Weather_Warm,Weather_Windy,Severity,Ward_Location_Risk
13,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.07346491228070176
15,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.006578947368421052
4,0,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0021929824561403508
9,1,1,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.003289473684210526
13,0,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.07346491228070176
4,1,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.03508771929824561
4,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010964912280701754
3,0,1,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0043859649122807015
4,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.03508771929824561
14,0,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.003289473684210526
10,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0010964912280701754
13,1,2,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.07346491228070176
3,0,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701754
13,0,4,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.07346491228070176
2,1,2,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.005482456140350877
