Ward,Road_Type,No_of_vehicles_involved,Time_Range,Month_Num,Nepali_Season,Weather_Clear,Weather_Cold,Weather_Cool,Weather_Dry,Weather_Dusty,Weather_Foggy,Weather_Frosty,Weather_Hot,Weather_Humid,Weather_Mild,Weather_Overcast,Weather_Pleasant,Weather_Rainy,Weather_Thunderstorm,Weather_Warm,Weather_Windy,Severity,Ward_Location_Risk
13,0,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0744797371303395
4,1,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0350492880613362
4,1,1,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0010952902519167
3,0,1,1,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.004381161007667
4,0,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0.0350492880613362
14,0,2,3,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0032858707557502
10,1,2,2,5,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0010952902519167
13,1,2,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0744797371303395
3,0,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010952902519167
13,0,4,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0744797371303395
2,1,2,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0054764512595837
7,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.013143483023001
15,0,2,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0065717415115005
13,0,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0744797371303395
15,0,3,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.044906900328587
9,1,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021905805038335
14,1,1,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0843373493975903
2,1,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0054764512595837
10,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010952902519167
12,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.008762322015334
10,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010952902519167
15,0,2,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010952902519167
19,1,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0175246440306681
4,1,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0032858707557502
8,0,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010952902519167
4,0,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.008762322015334
18,1,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.004381161007667
3,0,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.004381161007667
4,1,1,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0098576122672508
14,0,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010952902519167
4,0,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.004381161007667
2,0,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0076670317634173
4,0,2,1,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021905805038335
4,0,2,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.013143483023001
13,0,2,2,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0744797371303395
5,0,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0032858707557502
3,1,1,3,6,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010952902519167
9,0,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0032858707557502
4,0,2,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.013143483023001
4,0,3,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.013143483023001
13,1,2,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0744797371303395
16,1,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0230010952902519
14,1,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0843373493975903
14,0,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0843373493975903
13,1,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0744797371303395
17,1,1,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0164293537787513
13,1,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0744797371303395
4,0,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0350492880613362
3,0,1,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.004381161007667
10,1,2,0,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021905805038335
15,0,1,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.044906900328587
4,0,2,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0350492880613362
4,0,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0350492880613362
12,1,1,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010952902519167
3,0,1,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0262869660460021
14,1,1,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0843373493975903
3,0,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0076670317634173
14,0,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0843373493975903
15,0,1,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.044906900328587
15,1,1,0,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.044906900328587
13,1,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0744797371303395
7,0,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010952902519167
7,1,1,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.013143483023001
4,0,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.013143483023001
14,0,1,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0843373493975903
17,1,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0164293537787513
13,1,2,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0744797371303395
